日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/10/02,"39,883,714","3,144,463,376",80.3,80.4,78.1,78.1,-1.80,"15,971"
107/10/03,"29,803,905","2,315,818,630",78.1,78.2,77.6,77.8,-0.30,"6,859"
107/10/04,"30,305,034","2,322,411,767",77.7,77.8,76.2,76.2,-1.60,"15,126"
107/10/05,"33,643,388","2,548,528,188",76.2,76.5,75.2,75.6,-0.60,"15,199"
107/10/08,"19,798,390","1,496,082,274",75.4,76.1,75.3,75.5,-0.10,"9,651"
107/10/09,"21,977,940","1,662,200,828",75.7,76.0,75.3,75.3,-0.20,"9,751"
107/10/11,"108,003,464","7,625,976,678",72.2,72.3,70.0,70.1,-5.20,"46,731"
107/10/12,"52,966,494","3,748,639,182",70.0,72.0,69.7,71.9,+1.80,"21,325"
107/10/15,"41,594,483","2,940,268,543",71.2,71.2,70.2,70.5,-1.40,"18,490"
107/10/16,"55,483,183","3,891,573,947",70.1,70.5,70.0,70.4,-0.10,"28,189"
107/10/17,"89,222,440","6,194,723,900",70.7,71.0,68.1,68.1,-2.30,"34,412"
107/10/26,"94,812,656","7,361,023,903",79.8,79.8,75.5,76.2,X0.00,"45,357"
107/10/29,"38,484,156","2,951,213,295",78.2,78.2,75.5,75.5,-0.70,"18,229"
107/10/30,"25,361,205","1,926,689,281",75.5,76.5,75.3,76.4,+0.90,"12,188"
107/10/31,"38,572,406","3,025,383,578",78.1,78.8,77.7,78.8,+2.40,"16,847"
107/11/01,"27,825,014","2,210,830,961",79.0,80.0,78.7,79.9,1.1,"14,064"
107/11/02,"36,586,756","2,936,829,536",79.7,81.6,78.7,81.0,1.1,"15,057"
107/11/05,"22,500,657","1,803,389,760",81.0,81.0,79.5,80.0,-1.0,"9,822"
107/11/06,"27,208,925","2,126,849,941",79.5,79.6,77.1,77.3,-2.7,"12,329"
107/11/07,"23,857,091","1,858,258,498",78.4,78.4,77.4,77.9,0.6,"8,606"
107/11/08,"30,437,462","2,350,023,974",78.2,78.4,76.6,76.6,-1.3,"13,422"
107/11/09,"29,900,195","2,272,315,726",76.5,76.6,75.5,76.1,-0.5,"12,313"
107/11/12,"22,024,466","1,679,299,499",75.9,76.9,75.8,76.2,0.1,"7,775"
107/11/13,"31,659,718","2,355,103,546",74.4,74.8,73.8,74.4,-1.8,"12,266"
107/11/14,"35,175,438","2,598,272,789",74.6,74.7,73.0,73.3,-1.1,"15,801"
107/11/15,"37,827,181","2,781,986,697",73.3,75.4,72.5,74.5,1.2,"15,743"
107/11/16,"23,952,773","1,779,188,408",74.9,75.0,73.8,74.3,-0.2,"9,336"
107/11/19,"29,570,164","2,170,532,689",73.7,73.8,73.1,73.4,-0.9,"12,196"
107/11/20,"41,385,804","2,960,763,006",72.0,72.7,71.0,71.0,-2.4,"21,043"
107/11/21,"43,288,083","3,021,077,277",69.0,70.9,68.9,70.6,-0.4,"20,770"
107/11/22,"34,033,087","2,380,220,840",70.6,71.0,69.4,69.5,-1.1,"16,757"
107/11/23,"23,607,145","1,653,629,295",69.9,70.4,69.6,70.0,0.5,"10,747"
107/11/26,"25,629,931","1,820,699,986",71.3,71.5,70.6,71.0,1.0,"11,579"
107/11/27,"24,442,315","1,723,970,365",71.0,71.0,70.1,70.7,-0.3,"10,507"
107/11/28,"48,699,161","3,524,192,489",71.0,73.4,71.0,73.1,2.4,"19,916"
107/11/29,"44,209,607","3,248,333,815",74.4,74.5,72.4,72.4,-0.7,"16,789"
107/11/30,"79,512,359","5,770,124,397",72.6,73.9,71.9,71.9,-0.5,"16,857"
107/12/03,"44,756,298","3,300,697,952",73.1,74.3,73.1,74.0,2.1,"16,213"
107/12/04,"23,375,621","1,721,144,064",74.0,74.0,73.1,73.4,-0.6,"9,063"
107/12/05,"23,898,867","1,721,015,724",72.3,72.5,71.5,71.6,-1.8,"12,344"
107/12/06,"74,371,497","5,173,756,905",70.3,71.0,68.8,69.0,-2.6,"33,077"
107/12/07,"29,788,587","2,065,631,101",69.2,69.6,69.1,69.1,0.1,"16,282"
107/12/10,"34,179,628","2,322,581,768",68.2,68.4,67.6,67.7,-1.4,"18,329"
107/12/11,"27,863,901","1,913,157,049",68.5,69.2,68.4,68.4,0.7,"13,419"
107/12/12,"52,213,235","3,699,121,588",70.5,71.7,70.1,71.2,2.8,"22,460"
107/12/13,"46,486,838","3,364,791,174",71.2,73.0,71.2,73.0,1.8,"22,336"
107/12/14,"31,646,440","2,267,067,945",72.6,72.6,71.1,71.5,-1.5,"15,433"
107/12/17,"17,849,612","1,275,940,487",71.6,72.2,71.1,71.1,-0.4,"8,056"
107/12/18,"22,953,185","1,618,690,443",70.5,70.8,70.1,70.8,-0.3,"9,991"
107/12/19,"17,964,150","1,281,356,965",70.9,71.8,70.8,71.8,1.0,"8,760"
107/12/20,"25,245,106","1,805,594,510",71.1,72.2,70.9,71.5,-0.3,"11,527"
107/12/21,"33,136,429","2,353,447,421",70.6,71.4,70.2,71.4,-0.1,"9,316"
107/12/22,"6,222,257","441,961,791",71.0,71.3,70.8,70.9,-0.5,"4,435"
107/12/24,"11,791,597","838,847,036",70.8,71.4,70.7,71.4,0.5,"5,306"
107/12/25,"10,943,586","769,819,521",70.0,70.9,70.0,70.7,-0.7,"6,482"
107/12/26,"9,507,306","671,527,729",70.9,71.2,70.2,70.2,-0.5,"5,070"
107/12/27,"17,074,054","1,217,597,624",71.8,71.8,70.8,70.8,0.6,"7,161"
107/12/28,"16,169,241","1,145,754,397",70.9,71.1,70.7,70.8,0.0,"5,604"
108/01/02,"16,775,306","1,182,131,473",71.4,71.4,69.9,70.1,-0.7,"7,968"
108/01/03,"36,659,461","2,526,323,765",69.0,69.4,68.5,68.9,-1.2,"17,345"
108/01/04,"37,313,571","2,520,135,828",68.2,68.2,67.0,67.6,-1.3,"18,110"
108/01/07,"24,084,557","1,661,796,863",68.7,69.4,68.3,69.3,1.7,"11,167"
108/01/08,"18,303,188","1,258,685,500",69.6,69.6,68.2,68.6,-0.7,"8,027"
108/01/09,"31,946,504","2,226,173,028",68.9,70.2,68.8,69.9,1.3,"12,390"
108/01/10,"19,041,006","1,318,925,953",69.8,69.8,68.9,69.3,-0.6,"6,868"
108/01/11,"23,895,923","1,666,289,347",69.8,70.2,69.4,69.4,0.1,"8,299"
108/01/14,"14,186,528","978,121,932",69.3,69.7,68.6,68.7,-0.7,"5,838"
108/01/15,"34,095,247","2,391,707,840",69.5,70.6,69.5,70.3,1.6,"13,090"
108/01/16,"16,978,789","1,190,557,739",69.8,70.5,69.8,70.2,-0.1,"7,213"
108/01/17,"14,229,333","1,001,981,116",70.7,70.9,70.0,70.4,0.2,"6,079"
108/01/18,"13,989,609","987,788,089",70.5,70.8,70.3,70.8,0.4,"5,758"
108/01/21,"13,812,012","982,801,352",71.3,71.4,70.9,71.2,0.4,"6,076"
108/01/22,"9,804,658","692,841,394",71.2,71.2,70.3,70.7,-0.5,"4,294"
108/01/23,"14,218,510","995,321,209",70.5,70.5,69.6,69.7,-1.0,"6,712"
108/01/24,"21,008,129","1,467,646,630",69.5,70.1,69.5,70.0,0.3,"6,872"
108/01/25,"37,127,222","2,619,546,538",70.2,70.9,70.2,70.7,0.7,"9,069"
108/01/28,"25,776,596","1,824,318,059",70.8,71.0,70.6,70.8,0.1,"6,705"
108/01/29,"25,436,535","1,781,646,390",69.9,70.6,69.8,69.9,-0.9,"7,599"
108/01/30,"32,866,799","2,303,214,538",69.9,70.5,69.8,70.0,0.1,"7,053"
108/01/02,"16,775,306","1,182,131,473",71.4,71.4,69.9,70.1,-0.7,"7,968"
108/01/03,"36,659,461","2,526,323,765",69.0,69.4,68.5,68.9,-1.2,"17,345"
108/01/04,"37,313,571","2,520,135,828",68.2,68.2,67.0,67.6,-1.3,"18,110"
108/01/07,"24,084,557","1,661,796,863",68.7,69.4,68.3,69.3,1.7,"11,167"
108/01/08,"18,303,188","1,258,685,500",69.6,69.6,68.2,68.6,-0.7,"8,027"
108/01/09,"31,946,504","2,226,173,028",68.9,70.2,68.8,69.9,1.3,"12,390"
108/01/10,"19,041,006","1,318,925,953",69.8,69.8,68.9,69.3,-0.6,"6,868"
108/01/11,"23,895,923","1,666,289,347",69.8,70.2,69.4,69.4,0.1,"8,299"
108/01/14,"14,186,528","978,121,932",69.3,69.7,68.6,68.7,-0.7,"5,838"
108/01/15,"34,095,247","2,391,707,840",69.5,70.6,69.5,70.3,1.6,"13,090"
108/01/16,"16,978,789","1,190,557,739",69.8,70.5,69.8,70.2,-0.1,"7,213"
108/01/17,"14,229,333","1,001,981,116",70.7,70.9,70.0,70.4,0.2,"6,079"
108/01/18,"13,989,609","987,788,089",70.5,70.8,70.3,70.8,0.4,"5,758"
108/01/21,"13,812,012","982,801,352",71.3,71.4,70.9,71.2,0.4,"6,076"
108/01/22,"9,804,658","692,841,394",71.2,71.2,70.3,70.7,-0.5,"4,294"
108/01/23,"14,218,510","995,321,209",70.5,70.5,69.6,69.7,-1.0,"6,712"
108/01/24,"21,008,129","1,467,646,630",69.5,70.1,69.5,70.0,0.3,"6,872"
108/01/25,"37,127,222","2,619,546,538",70.2,70.9,70.2,70.7,0.7,"9,069"
108/01/28,"25,776,596","1,824,318,059",70.8,71.0,70.6,70.8,0.1,"6,705"
108/01/29,"25,436,535","1,781,646,390",69.9,70.6,69.8,69.9,-0.9,"7,599"
108/01/30,"32,866,799","2,303,214,538",69.9,70.5,69.8,70.0,0.1,"7,053"
108/01/02,"16,775,306","1,182,131,473",71.4,71.4,69.9,70.1,-0.7,"7,968"
108/01/03,"36,659,461","2,526,323,765",69.0,69.4,68.5,68.9,-1.2,"17,345"
108/01/04,"37,313,571","2,520,135,828",68.2,68.2,67.0,67.6,-1.3,"18,110"
108/01/07,"24,084,557","1,661,796,863",68.7,69.4,68.3,69.3,1.7,"11,167"
108/01/08,"18,303,188","1,258,685,500",69.6,69.6,68.2,68.6,-0.7,"8,027"
108/01/09,"31,946,504","2,226,173,028",68.9,70.2,68.8,69.9,1.3,"12,390"
108/01/10,"19,041,006","1,318,925,953",69.8,69.8,68.9,69.3,-0.6,"6,868"
108/01/11,"23,895,923","1,666,289,347",69.8,70.2,69.4,69.4,0.1,"8,299"
