日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/10/01,"561,901","2,093,382,760","3,700.00","3,775.00","3,670.00","3,740.00",105.0,687
107/10/02,"449,512","1,693,195,600","3,765.00","3,790.00","3,725.00","3,790.00",50.0,581
107/10/03,"515,223","1,945,556,250","3,805.00","3,835.00","3,680.00","3,720.00",-70.0,682
107/10/04,"624,034","2,311,366,480","3,690.00","3,750.00","3,660.00","3,710.00",-10.0,798
107/10/05,"1,279,971","4,525,449,660","3,680.00","3,700.00","3,440.00","3,440.00",-270.0,"1,944"
107/10/08,"942,987","3,304,663,915","3,455.00","3,600.00","3,450.00","3,510.00",70.0,"1,027"
107/10/09,"674,056","2,406,776,040","3,530.00","3,600.00","3,520.00","3,590.00",80.0,961
107/10/11,"1,440,690","4,728,118,600","3,400.00","3,400.00","3,235.00","3,235.00",-355.0,"1,433"
107/10/12,"1,596,023","5,420,741,765","3,275.00","3,555.00","3,205.00","3,555.00",320.0,"1,602"
107/10/15,"932,391","3,269,291,320","3,455.00","3,600.00","3,420.00","3,480.00",-75.0,"1,042"
107/10/16,"953,490","3,223,866,600","3,450.00","3,480.00","3,280.00","3,330.00",-150.0,"1,444"
107/10/17,"788,727","2,675,953,180","3,460.00","3,485.00","3,325.00","3,330.00",0.0,"1,055"
107/10/18,"612,162","2,047,559,460","3,350.00","3,415.00","3,295.00","3,315.00",-15.0,816
107/10/19,"948,006","3,147,465,842","3,290.00","3,415.00","3,210.00","3,415.00",100.0,"1,098"
107/10/22,"754,466","2,582,256,000","3,360.00","3,510.00","3,325.00","3,505.00",90.0,887
107/10/23,"695,950","2,357,887,750","3,445.00","3,485.00","3,320.00","3,335.00",-170.0,946
107/10/24,"669,785","2,274,199,000","3,380.00","3,430.00","3,360.00","3,385.00",50.0,727
107/10/25,"1,019,830","3,324,215,700","3,235.00","3,310.00","3,210.00","3,290.00",-95.0,"1,316"
107/10/26,"789,165","2,596,581,300","3,370.00","3,395.00","3,210.00","3,210.00",-80.0,"1,021"
107/10/29,"723,412","2,336,477,540","3,250.00","3,295.00","3,120.00","3,295.00",85.0,836
107/10/30,"773,415","2,487,330,450","3,285.00","3,295.00","3,165.00","3,165.00",-130.0,863
107/10/31,"902,351","2,981,333,966","3,245.00","3,350.00","3,240.00","3,350.00",185.0,946
107/11/01,"971,012","3,270,360,200","3,340.00","3,445.00","3,310.00","3,335.00",-15.0,"1,033"
107/11/02,"1,714,555","5,868,773,600","3,235.00","3,540.00","3,235.00","3,525.00",190.0,"1,812"
107/11/05,"619,281","2,128,030,235","3,485.00","3,500.00","3,390.00","3,435.00",-90.0,747
107/11/06,"1,182,750","3,874,353,750","3,390.00","3,425.00","3,180.00","3,220.00",-215.0,"1,449"
107/11/07,"952,439","3,092,750,600","3,250.00","3,310.00","3,160.00","3,280.00",60.0,"1,046"
107/11/08,"713,804","2,345,054,080","3,380.00","3,395.00","3,200.00","3,200.00",-80.0,749
107/11/09,"1,178,637","3,674,820,625","3,200.00","3,230.00","3,040.00","3,080.00",-120.0,"1,348"
107/11/12,"1,013,855","3,118,103,400","3,055.00","3,150.00","3,020.00","3,050.00",-30.0,"1,177"
107/11/13,"1,439,956","4,357,955,680","2,925.00","3,200.00","2,875.00","3,200.00",150.0,"1,430"
107/11/14,"697,083","2,207,292,160","3,180.00","3,205.00","3,130.00","3,190.00",-10.0,767
107/11/15,"823,588","2,561,651,320","3,190.00","3,190.00","3,055.00","3,095.00",-95.0,927
107/11/16,"713,709","2,251,769,170","3,160.00","3,210.00","3,115.00","3,130.00",35.0,972
107/11/19,"605,836","1,940,230,300","3,135.00","3,235.00","3,135.00","3,235.00",105.0,674
107/11/20,"778,367","2,521,668,255","3,190.00","3,315.00","3,155.00","3,315.00",80.0,848
107/11/21,"888,687","2,931,489,275","3,275.00","3,345.00","3,240.00","3,345.00",30.0,965
107/11/22,"822,283","2,775,915,030","3,350.00","3,445.00","3,265.00","3,275.00",-70.0,888
107/11/23,"602,612","1,987,925,720","3,330.00","3,335.00","3,260.00","3,310.00",35.0,682
107/11/26,"572,845","1,947,500,250","3,345.00","3,450.00","3,330.00","3,450.00",140.0,711
107/11/27,"799,142","2,765,467,000","3,400.00","3,510.00","3,370.00","3,485.00",35.0,887
107/11/28,"540,021","1,872,547,975","3,490.00","3,500.00","3,435.00","3,475.00",-10.0,639
107/11/29,"944,002","3,374,756,820","3,625.00","3,630.00","3,515.00","3,515.00",40.0,"1,008"
107/11/30,"743,065","2,540,789,050","3,505.00","3,505.00","3,365.00","3,370.00",-145.0,929
